EstablishmentId,tokens,cluster,category,category_Asiática,category_Bebidas,category_Categoría_2,category_Categoría_8,category_Comida_Rápida,category_Desayunos,category_Italiana,category_Postres,category_Saludable
1,"['tamaquiles', 'deliciosos', 'tamales', 'dorados', 'bañados', 'salsa', 'elección', 'mix', 'quesos', 'crema']",6,Desayunos,0.0,0.0,0.0,0.2222,0.0,0.7778,0.0,0.0,0.0
1,"['huevos', 'gusto', 'mexicana', 'revuelto', 'jamón', 'estrellado', 'machacado', 'chorizo', 'acompañado', 'frijoles', 'refritos']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"['bisquets', 'mermelada', 'deliciosas', 'piezas', 'bisquets', 'sabor', 'mantequilla', 'acompañados', 'mermelada', 'fresa']",5,Comida Rápida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
3,"['hot', 'cakes', 'piezas', 'esponjosos', 'hot', 'cakes', 'fresa', 'natural', 'chocolate', 'mantequilla', 'acompañados', 'mermelada', 'miel', 'jarabe', 'maple']",4,Postres,0.0,0.0,0.0,0.0,0.7778,0.0,0.0,0.2222,0.0
1,"['molletes', 'telera', 'embarrada', 'fijoles', 'chorizo', 'mix', 'quesos', 'pico', 'gallo']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"['ensalada', 'frutas', 'exquisita', 'combinación', 'papaya', 'plátano', 'melón', 'piña', 'fresa', 'acompañada', 'yogurt', 'granola']",5,Comida Rápida,0.0,0.0,0.4444,0.0,0.2222,0.0,0.0,0.3333,0.0
3,"['croissant', 'pollo', 'delicioso', 'croissant', 'jamón', 'lechuga', 'jitomate', 'queso', 'manchego', 'jugosa', 'pechuga', 'pollo', 'plancha']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,"['omelette', 'maoli', 'deliciosa', 'combinación', 'jamón', 'queso', 'cebolla', 'papa', 'rallada']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.1111,0.8889,0.0,0.0
3,"['huevos', 'chorizo', 'huevos', 'chorizo', 'incluye', 'frijoles', 'refritos', 'tortillas']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,"['omelette', 'tocinator', 'abundante', 'tocino', 'crujiente', 'mezcla', 'quesos', 'pico', 'gallo']",6,Desayunos,0.0,0.0,0.0,0.0,0.1111,0.7778,0.1111,0.0,0.0
3,"['huevos', 'mexicana', 'huevos', 'mexicana', 'incluye', 'frijoles', 'refritos', 'tortillas']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"['huevos', 'rancheros', 'huevos', 'rancheros', 'incluye', 'frijoles', 'refritos', 'tortillas']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,"['omelette', 'meatlover', 'tocino', 'salchicha', 'italiana', 'jamón', 'pimientos', 'colores', 'mix', 'quesos']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,"['huevos', 'norteños', 'huevos', 'norteños', 'incluye', 'frijoles', 'refritos', 'tortillas']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"['huevos', 'motuleños', 'huevos', 'motuleños', 'incluye', 'frijoles', 'refritos', 'tortillas']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,"['omelette', 'especial', 'maoli', 'sincronizadas', 'jamón', 'pavo', 'mix', 'quesos', 'coronada', 'huevos', 'estrellados', 'bañadas', 'salsa', 'casa', 'frijoles', 'chorizo', 'mezcla', 'chiles']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
3,"['huevos', 'machacado', 'huevos', 'machacado', 'incluye', 'frijoles', 'refritos', 'tortillas']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,"['maoli', 'club', 'sándwich', 'delicioso', 'tradicional', 'club', 'sándwich', 'jamón', 'queso', 'amarillo', 'pollo', 'plancha', 'tocino', 'lechuga', 'tomate', 'acompañado', 'papas', 'francesa']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,"['panini', 'maoli', 'pechuga', 'pollo', 'sazonada', 'tocino', 'espinacas', 'mix', 'quesos', 'aderezo', 'mayonesa´', 'chipotle']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,"['desayuno', 'imperial', 'delicioso', 'platillo', 'combinado', 'incluye', 'huevos', 'gusto', 'piezas', 'salchicha', 'carne', 'piezas', 'hot', 'cakes', 'porción', 'papa', 'hash', 'brown', 'rebanadas', 'tocino']",6,Desayunos,0.0,0.0,0.0,0.0,0.5556,0.4444,0.0,0.0,0.0
4,"['paquete', 'gordas', 'masa', 'blanca', 'negra']",5,Comida Rápida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,"['mexican', 'sandwich', 'jamón', 'pavo', 'queso', 'panela', 'plancha', 'huevo', 'cocido', 'pico', 'gallo', 'aguacate', 'mayostaza']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.1111,0.8889,0.0,0.0
4,"['gorda', 'pieza', 'masa', 'blanca', 'negra']",5,Comida Rápida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
4,"['gorda', 'dulce', 'masa', 'blanca', 'negra']",5,Comida Rápida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,"['panini', 'regio', 'arrachera', 'guacamole', 'mezcla', 'quesos', 'cebolla', 'caramelizada', 'mayonesa', 'chipotle']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,"['extras', 'piezas', 'extra']",5,Comida Rápida,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,"['hamburguesa', 'maoli', 'deliciosa', 'carne', 'res', 'receta', 'almendrada', 'casa', 'mezcla', 'quesos', 'champiñones', 'salteados', 'pepinillos', 'tomate', 'lechuga', 'aderezo', 'casa', 'incluye', 'papas']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,"['paquete', 'sopes', 'elije', 'chicharrón', 'carne', 'deshebrada', 'molida']",6,Desayunos,0.0,0.0,0.0,0.0,0.2222,0.7778,0.0,0.0,0.0
3,"['tostiricas', 'deliciosas', 'piezas', 'tostadas', 'casa', 'acompañadas', 'frijoles', 'refritos', 'queso', 'crema', 'cebolla', 'jitomate', 'aguacate', 'rico', 'pollo']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,"['boneless', 'pechuga', 'pollo', 'cubitos', 'bañadas', 'salsa', 'prefieras', 'acompañados', 'verduras', 'aderezo', 'incluye', 'papas', 'bebida']",3,Italiana,0.0,0.0,0.0,0.1111,0.0,0.0,0.8889,0.0,0.0
4,"['sopes', 'pieza', 'chicharron', 'carne', 'deshebrada', 'molida']",6,Desayunos,0.0,0.0,0.0,0.0,0.2222,0.7778,0.0,0.0,0.0
1,"['hamburguesa', 'bbq', 'bacon', 'riquísima', 'carne', 'res', 'mezcla', 'quesos', 'lechuga', 'tomate', 'pepinillos', 'tocino', 'salsa', 'bbq', 'aros', 'cebolla', 'incluye', 'papas']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,"['paquete', 'panuchos', 'pollo', 'pibil']",5,Comida Rápida,0.0,0.0,0.0,0.3333,0.6667,0.0,0.0,0.0,0.0
3,"['molletes', 'riquísimos', 'molletes', 'frijoles', 'queso', 'manchego', 'pico', 'gallo', 'puedes', 'elegir', 'chorizo', 'tocino', 'acompañarlos']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
1,"['alitas', 'deliciosas', 'alitas', 'bañadas', 'salsa', 'elección', 'acompañadas', 'verduras', 'aderezo', 'incluye', 'papas']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,"['enchiladas', 'veracruzanas', 'piezas', 'deliciosas', 'enchiladas', 'rellenas', 'huevo', 'mexicana', 'bañadas', 'salsa', 'frijol', 'acompañadas', 'queso', 'crema', 'chorizo', 'aguacate']",6,Desayunos,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,"['panuchos', 'pieza', 'pollo', 'pibil']",5,Comida Rápida,0.0,0.0,0.0,0.3333,0.3333,0.3333,0.0,0.0,0.0
1,"['hamburguesa', 'tenderlion', 'pechuga', 'pollo', 'empanizada', 'bañada', 'salsa', 'búfalo', 'mezcla', 'quesos', 'tomate', 'lechuga', 'aderezo', 'casa', 'incluye', 'papas']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,"['sampler', 'deliciosas', 'alitas', 'boneless', 'aros', 'cebolla', 'deditos', 'queso', 'poppers', 'crisscut', 'queso']",3,Italiana,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,"['orden', 'enchiladas', 'orden', 'refill', 'enchiladas', 'elige', 'cecina', 'carne', 'enchilada', 'milanesa', 'pollo', 'chuleta', 'huevo', 'revuelto']",6,Desayunos,0.0,0.0,0.0,0.0,0.1111,0.8889,0.0,0.0,0.0
1,"['ensalada', 'maoli', 'pollo', 'lemon', 'pepper', 'lechuga', 'mixta', 'frituras', 'maíz', 'col', 'morada', 'zanahoria', 'pico', 'gallo', 'aguacate', 'mix', 'quesos', 'aderezo', 'ranch', 'spicy']",3,Italiana,0.0,0.0,0.0,0.4444,0.0,0.0,0.5556,0.0,0.0
