EstablishmentId,RestaurantName,Latitude,Longitude
1,Maoli Munchies Food,25.6617698,-100.2992248
2,Joy,25.6499153,-100.2942364
3,Don Corne Restaurante,25.666822664200993,-100.28354954204933
4,La Jarochita Tec,25.6487273,-100.2963989
5,Delys Pizza,25.6378396,-100.2734645
6,Mashiato,25.6657784,-100.311425
7,Poncho Alotas (Plaza Encino),25.6517855,-100.2650513
8,CafÃ© 110,25.6554443,-100.2966101
9,Onigiri Tec,25.6505233,-100.2929013
10,Incredible Pizza,25.6167727,-100.2758747
11,The Old Mike ,25.6719145,-100.2493376
12,Chilaquilteca,25.6561232,-100.2990378
13,Mantarayados Restaurant Bar,25.6723803,-100.2476162
14,La cocina de mi vecina,25.65108159999999,-100.2933657
15,BrÃ¼er Espresso Bar,25.63432999999999,-100.2722568
16,GriegÃ¼r,25.6398084,-100.271164
17,Beetle Coffee,25.6663844,-100.3059966
18,El original latino Tec,25.6492673,-100.2915309
19,Bonkey Sushi Satelite,25.597456,-100.26309
20,Beer For Us,25.643642,-100.276136
21,Ke burros,25.6851974,-100.3462809
22,El Pescador Gran Plaza,25.6729071,-100.3076515
23,Capretz Barrio Antiguo ,25.6649444,-100.3090543
24,Koto RevoluciÃ³n,25.6380356,-100.2725267
25,Sirena,25.6614282,-100.2994879
26,Hiroba Sushi,25.6764784,-100.2590979
27,La Playita,25.6965178,-100.3429698
28,El Super Tamal,25.6615469,-100.299459
29,Habacu's,25.7266445,-100.2979419
30,Mashiato,25.6657784,-100.311425
31,Mashiato,25.6657784,-100.311425
32,Sal y Pimienta,25.6800441,-100.3422459
33,Tamales Claudita,25.5972988,-100.2630289
34,Tres Cuartos,25.6661823,-100.2822511
35,El Antojo,25.6673893,-100.2850062
36,Hamburguesas del Rio,25.6678538,-100.3322953
37,MIRM,25.62410819999999,-100.289384
38,Mister Robbins Munchibar,25.6707176,-100.3251116
39,La Garnacha Azul ,25.6606009,-100.3000579
40,Rosa NÃ¡utica Tec,25.6538805,-100.2894878
41,Sushi balls Barrio Antiguo ,25.6697322,-100.3082274
42,La Enramada,25.6669568,-100.2845414
43,The yogurt shop,25.635746,-100.2730044
44,Street Pizza,25.6790194,-100.3312834
45,Roots Green Pub,25.6378396,-100.2734645
46,Mariscos El Gordo San Pedro,25.6522223,-100.3330371
47,El mero mero,35.6986829,139.7712782
48,Mariscos El gordo Cumbres,25.6989747,-100.3616978
49,Sushi balls Cumbres,25.6952376,-100.3600136
50,El Original Latino Buenos Aires,25.6673664,-100.2838351
51,Bonkey Sushi Tec,25.6462557,-100.2941292
52,Onigiri Mitras,25.6889228,-100.3469636
53,La Jarochita Cumbres,25.7375116,-100.4049538
54,La Petite Bretonne,25.6419629,-100.2794901
55,"Tacos Pancho, La florida",25.6621561,-100.2943279
56,Monkey's Coffe,25.6755666,-100.3104352
57,El Unicornio azul No. 2,25.7098695,-100.3755161
58,Black Cafe,25.6695921,-100.306736
59,El Monch Foodtruck Mercado LÃ¡zaro,25.630381,-100.3003441
60,Mariscos El gordo Tec,25.6552711,-100.2838261
61,Arrecife 21,25.6702973,-100.3255248
62,El Unicornio azul No.1 ,25.7110446,-100.375705
63,PizzerÃ­a Di Doru,25.6005554,-100.2659988
64,Los Huastecos,25.7141917,-100.3801621
65,Paellas Sotomayor,25.6970824,-100.3793621
66,BerlÃ­n Platz,25.6498577,-100.2941281
67,Tacos Don Pancho Pablo Livas,25.6692798,-100.2403367
