NumeroProveedor,NumeroSocioConsumidor,OrderID,Name,MontoTotal,Description,latitud,longitud
3,27,42553,Agua de sabor,96.0,Riquísimas aguas de fruta natural,25.666822664200996,-100.28354954204931
3,27,42553,Caldo tlalpeño chico,96.0,Caldo tlalpeño,25.666822664200996,-100.28354954204931
3,27,43331,Agua de sabor,228.0,Riquísimas aguas de fruta natural,25.666822664200996,-100.28354954204931
3,27,43331,Monto,228.0,'-,25.666822664200996,-100.28354954204931
3,27,43331,Tampiqueña,228.0,"150 gramos de deliciosa y jugosa res, acompañada con guacamole, frijoles refritos, enmoladas Guerrero y chiles toreados.",25.666822664200996,-100.28354954204931
3,27,44701,Media orden de chilaquiles,144.0,"Deliciosos chilaquiles en salsa roja o verde acompañados de frijoles refritos, crema, queso y cebolla morada",25.666822664200996,-100.28354954204931
3,27,45633,Agua de sabor,180.0,Riquísimas aguas de fruta natural,25.666822664200996,-100.28354954204931
3,27,45633,Desayuno imperial,180.0,"Delicioso platillo combinado que incluye: huevos al gusto, 2 piezas de salchicha de carne, 2 piezas de hot cakes, 1 porción de papa hash brown y 2 rebanadas de tocino.",25.666822664200996,-100.28354954204931
3,27,46393,Agua embotellada,182.9,Agua fresca natural,25.666822664200996,-100.28354954204931
3,27,46393,Desayuno imperial,182.9,"Delicioso platillo combinado que incluye: huevos al gusto, 2 piezas de salchicha de carne, 2 piezas de hot cakes, 1 porción de papa hash brown y 2 rebanadas de tocino.",25.666822664200996,-100.28354954204931
3,27,46910,Agua de sabor,94.4,Riquísimas aguas de fruta natural,25.666822664200996,-100.28354954204931
3,27,46910,Caldo tlalpeño chico,94.4,Caldo tlalpeño,25.666822664200996,-100.28354954204931
3,27,50786,Agua de sabor,177.0,Riquísimas aguas de fruta natural,25.666822664200996,-100.28354954204931
3,27,50786,Desayuno imperial,177.0,"Delicioso platillo combinado que incluye: huevos al gusto, 2 piezas de salchicha de carne, 2 piezas de hot cakes, 1 porción de papa hash brown y 2 rebanadas de tocino.",25.666822664200996,-100.28354954204931
3,27,51703,Desayuno imperial,224.2,"Delicioso platillo combinado que incluye: huevos al gusto, 2 piezas de salchicha de carne, 2 piezas de hot cakes, 1 porción de papa hash brown y 2 rebanadas de tocino.",25.666822664200996,-100.28354954204931
3,27,51703,Refresco,224.2,Refrescos,25.666822664200996,-100.28354954204931
3,27,52377,Caldo tlalpeño chico,141.6,Caldo tlalpeño,25.666822664200996,-100.28354954204931
3,27,52377,Refresco,141.6,Refrescos,25.666822664200996,-100.28354954204931
3,27,55632,Agua de sabor,165.2,Riquísimas aguas de fruta natural,25.666822664200996,-100.28354954204931
3,27,55632,Caldo tlalpeño chico,165.2,Caldo tlalpeño,25.666822664200996,-100.28354954204931
3,27,55632,Refresco,165.2,Refrescos,25.666822664200996,-100.28354954204931
