NumeroProveedor,Platillo,Description,tokens,CategoryId,SubcategoryId
1,Tamaquiles ,"Deliciosos tamales dorados y bañados en salsa  de tu elección, mix de quesos y crema.","['tamaquiles', 'deliciosos', 'tamales', 'dorados', 'bañados', 'salsa', 'elección', 'mix', 'quesos', 'crema']",10,50
1,Huevos al Gusto ,"A la mexicana, revuelto, jamón, estrellado, con  machacado, chorizo, acompañado de frijoles refritos ","['huevos', 'gusto', 'mexicana', 'revuelto', 'jamón', 'estrellado', 'machacado', 'chorizo', 'acompañado', 'frijoles', 'refritos']",10,50
3,Bisquets con mermelada,2 deliciosas piezas de bisquets sabor a  mantequilla acompañados con mermelada de fresa. ,"['bisquets', 'mermelada', 'deliciosas', 'piezas', 'bisquets', 'sabor', 'mantequilla', 'acompañados', 'mermelada', 'fresa']",16,21
3,Hot Cakes,"3 piezas de esponjosos hot cakes con fresa natural, chocolate y mantequilla acompañados con mermelada, miel o jarabe de maple ","['hot', 'cakes', 'piezas', 'esponjosos', 'hot', 'cakes', 'fresa', 'natural', 'chocolate', 'mantequilla', 'acompañados', 'mermelada', 'miel', 'jarabe', 'maple']",16,21
1,Molletes ,"Telera embarrada con fijoles con chorizo, mix de  quesos y pico de gallo ","['molletes', 'telera', 'embarrada', 'fijoles', 'chorizo', 'mix', 'quesos', 'pico', 'gallo']",10,50
3,Ensalada de frutas,"Exquisita combinación de papaya, plátano, melón, piña y fresa acompañada con yogurt y granola.","['ensalada', 'frutas', 'exquisita', 'combinación', 'papaya', 'plátano', 'melón', 'piña', 'fresa', 'acompañada', 'yogurt', 'granola']",16,21
3,Croissant con pollo,"Delicioso croissant con jamón, lechuga, jitomate, queso manchego  y jugosa pechuga de pollo a la plancha","['croissant', 'pollo', 'delicioso', 'croissant', 'jamón', 'lechuga', 'jitomate', 'queso', 'manchego', 'jugosa', 'pechuga', 'pollo', 'plancha']",16,21
1,Omelette Maoli,"Deliciosa combinación de jamón, queso, cebolla y papa rallada ","['omelette', 'maoli', 'deliciosa', 'combinación', 'jamón', 'queso', 'cebolla', 'papa', 'rallada']",10,50
3,Huevos con chorizo,"Huevos con chorizo, incluye frijoles refritos y tortillas","['huevos', 'chorizo', 'huevos', 'chorizo', 'incluye', 'frijoles', 'refritos', 'tortillas']",16,21
1,Omelette Tocinator,"Abundante tocino crujiente, mezcla de quesos y pico de gallo ","['omelette', 'tocinator', 'abundante', 'tocino', 'crujiente', 'mezcla', 'quesos', 'pico', 'gallo']",10,50
3,Huevos a la mexicana,"Huevos a la mexicana, incluye frijoles refritos y tortillas","['huevos', 'mexicana', 'huevos', 'mexicana', 'incluye', 'frijoles', 'refritos', 'tortillas']",16,21
3,Huevos rancheros ,"Huevos rancheros, incluye frijoles refritos y tortillas","['huevos', 'rancheros', 'huevos', 'rancheros', 'incluye', 'frijoles', 'refritos', 'tortillas']",16,21
1,Omelette Meatlover,"Tocino, salchicha italiana, jamón, pimientos de colores y mix de quesos ","['omelette', 'meatlover', 'tocino', 'salchicha', 'italiana', 'jamón', 'pimientos', 'colores', 'mix', 'quesos']",10,50
3,Huevos norteños,"Huevos norteños, incluye frijoles refritos y tortillas","['huevos', 'norteños', 'huevos', 'norteños', 'incluye', 'frijoles', 'refritos', 'tortillas']",16,21
3,Huevos motuleños,"Huevos motuleños, incluye frijoles refritos y tortillas","['huevos', 'motuleños', 'huevos', 'motuleños', 'incluye', 'frijoles', 'refritos', 'tortillas']",16,21
1,Omelette Especial de Maoli,"2 Sincronizadas de jamón de pavo  y mix de quesos coronada con huevos estrellados y bañadas en salsa de de la casa (frijoles, chorizo y mezcla de chiles)","['omelette', 'especial', 'maoli', 'sincronizadas', 'jamón', 'pavo', 'mix', 'quesos', 'coronada', 'huevos', 'estrellados', 'bañadas', 'salsa', 'casa', 'frijoles', 'chorizo', 'mezcla', 'chiles']",10,50
3,Huevos con machacado,"Huevos con machacado, incluye frijoles refritos y tortillas","['huevos', 'machacado', 'huevos', 'machacado', 'incluye', 'frijoles', 'refritos', 'tortillas']",16,21
1,Maoli Club Sándwich ,"Delicioso y tradicional club sándwich con jamón, queso amarillo, pollo a la plancha, tocino, lechuga y tomate acompañado de papas a la francesa  ","['maoli', 'club', 'sándwich', 'delicioso', 'tradicional', 'club', 'sándwich', 'jamón', 'queso', 'amarillo', 'pollo', 'plancha', 'tocino', 'lechuga', 'tomate', 'acompañado', 'papas', 'francesa']",10,50
